date,source,title,teaser,content
2025-06-27,SZ Süddeutsche Zeitung,Bundestag verlängert Mietpreisbremse,"Die Begrenzung der Neuvertragsmieten schützt Bürger in 492 Gemeinden und soll nun
bis 2029 gelten. Grüne, Linke und der Mieterbund fordern deutlich mehr Regulierung.","Berlin – Einen Tag vor Beginn des SPD-Parteitags hat der Bundestag ein zentrales Wahlkampfversprechen der Sozialdemokraten umgesetzt. Das Parlament beschloss am Donnerstag, die Mietpreisbremse zu verlängern. Ohne Neuregelung wäre sie Ende des Jahres ausgelaufen. Die Preisbremse soll nun bis 2029 gelten. Sie sieht vor, dass bei einer Neuvermietung die Miete höchstens zehn Prozent über der ortsüblichen Vergleichsmiete liegen darf.

„Mieterinnen und Mieter brauchen einen Schutz vor einem ungebremsten Mietanstieg“, sagte Bundesjustizministerin Stefanie Hubig (SPD). Deshalb habe man „keine Zeit verloren und die Verlängerung sehr zügig beschlossen“. In Deutschland hat das Mietrecht besonders große Bedeutung. Innerhalb der Europäischen Union ist die Bundesrepublik das Land mit dem höchsten Mieteranteil – er liegt bei 53 Prozent. Außerdem sind in vielen Städten die Mieten in den vergangenen Jahren erheblich gestiegen.

Die große Koalition gesteht zwar ein, dass dieser Anstieg maßgeblich an einem zu geringen Angebot an Wohnraum liegt. Der Mangel auf angespannten Mietmärkten lasse sich daher dauerhaft nur bekämpfen, indem zusätzlicher Wohnraum geschaffen werde, finden Union und SPD. Die Verlängerung der Mietpreisbremse sei aber ein notwendiger Beitrag zur Abmilderung des Anstiegs der Mietpreise.

Grünen und Linken geht die Regulierung durch die große Koalition allerdings nicht weit genug. Die Grünen verweisen darauf, dass die Neuvertragsmieten trotz der bereits seit 2015 geltenden Mietpreisbremse gerade in Ballungszentren sehr stark gestiegen seien. Sie haben deshalb einen eigenen Gesetzentwurf vorgelegt. Darin fordern die Grünen neben der Entfristung der Mietpreisbremse unter anderem auch eine Verschärfung der Regeln für Bestandsmietverträge. In angespannten Märkten sollen hier nur noch neun Prozent Mieterhöhung in drei Jahren möglich sein – bisher liegt diese Grenze bei 15 Prozent. Außerdem fordern die Grünen eine Verschärfung des Mietwucherparagrafen im Wirtschaftsstrafrecht, dieser sei derzeit praktisch unwirksam.

Die Linken haben einen Antrag mit noch weitergehenden Forderungen in den Bundestag eingebracht. „Statt einer komplizierten Mietpreisbremse mit tausend Schlupflöchern fordern wir einen sofortigen Mietenstopp und einen Mietendeckel, der das Wohnen dauerhaft bezahlbar macht“, sagte Linken-Chef Jan van Aken. Wo die Mieten zu hoch seien, „müssen sie abgesenkt werden – basta!“ In Berlin hatte die damalige rot-rot-grüne Koalition vor fünf Jahren einen derartigen Mietendeckel eingeführt. Dieser wurde dann allerdings vom Bundesverfassungsgericht kassiert, weil das Bundesland damit seine Kompetenzen überschritten hatte.

Bei den Abstimmungen am Donnerstag im Bundestag fand erwartungsgemäß weder der Antrag der Linken noch der Gesetzentwurf der Grünen eine Mehrheit. Allerdings halten auch die Sozialdemokraten weitere Verschärfungen des Mietrechts für nötig. Die SPD-Abgeordnete Sonja Eichwede sagte, die Verlängerung der Mietpreisbremse sei nur „ein erster Schritt“.

Die Preisbremse gilt bisher lediglich in Gebieten, die die jeweilige Landesregierung als angespannte Wohnungsmärkte ausgewiesen hat. Sie gilt nicht für Wohnungen, die nach dem 1. Oktober 2014 zum ersten Mal genutzt und vermietet wurden. Auch umfassend sanierte Wohnungen, die erstmals wieder vermietet werden, sind ausgenommen. Außerdem kann die Preisbremse dadurch umgangen werden, dass Wohnungen möbliert oder nur kurz vermietet werden. Justizministerin Hubig versprach deshalb, „schnell weitere Pakete zum besseren Mieterschutz“ auf den Weg zu bringen, zum Beispiel zu Indexmieten oder zu möblierten Wohnungen.

Auch der Deutsche Mieterbund (DMB) verlangt Verschärfungen. Es sei zwar erfreulich, dass die Preisbremse nun verlängert worden sei, sagte die neue Präsidentin des DMB, Melanie Weber-Moritz. Sie gelte derzeit immerhin in 492 Gemeinden mit rund 32 Millionen Menschen. Einer Auswertung des Bauministeriums zufolge seien die Angebotsmieten in den 14 größten kreisfreien Städten Deutschland seit 2015 – dem Start der Mietpreisbremse – aber durchschnittlich um fast 50 Prozent gestiegen. Das zeige, dass die Mietpreisbremse „deutlich nachgeschärft werden muss“. Ausnahmen müssten gestrichen werden. Das gelte auch für die bisher geltende Neubau-Grenze im Gesetz. Wohnungen, die 2014 gebaut wurden, seien „heute keine Neubauten mehr – sie weiter von der Mietpreisbremse auszunehmen, ist nicht nachvollziehbar“.

Die Unionsfraktion sieht das jedoch anders. Der CDU-Abgeordnete Günter Krings sagte, es müsse – schon aus Gründen des Vertrauensschutzes gegenüber den Eigentümern – bei der Grenze 2014 bleiben. Man dürfe „niemals im laufenden Spiel die Tore verschieben“. Der baupolitische Sprecher der Unionsfraktion, Jan-Marco Luczak, gestand zwar ein, dass in vielen Städten hohe Mieten bis weit in die Mittelschicht eine große Belastung seien und dies „erheblichen sozialen Sprengstoff“ berge. Mit der Verlängerung der Mietpreisbremse gebe man „den Menschen nun Sicherheit und Zeit zum Durchatmen“, sagte Luczak. Diese Zeit müsse aber genutzt werden, um die Rahmenbedingungen dafür zu schaffen, damit in Deutschland mehr, schneller und kostengünstiger gebaut werden könne. „Denn steigende Mieten kriegen wir nachhaltig nur in den Griff, wenn es mehr bezahlbare Wohnungen gibt.“ Außerdem würden „alle Studien zeigen, dass übermäßige Regulierung zu weniger Angebot führt, weil sich Vermieter vom Markt zurückziehen“.

Zudem fehle der Mietpreisbremse „die soziale Steuerungswirkung“, sagte Luczak. Von ihr profitiere der Chefarzt genauso wie die Krankenschwester, obwohl Ersterer sich seine Miete problemlos leisten könne. Das sei „weder sozial noch gerecht“. Für die Zeit nach dem Auslaufen der Preisbremse 2029 brauche man deshalb „eine Regelung, die zielgenau Menschen schützt, die durch hohe Mieten wirtschaftlich überfordert und auf Hilfe angewiesen sind“.

Auch im Frankfurter Riedberg sind die Mieten in den vergangenen Jahren stark angestiegen."
2025-05-24,SZ Süddeutsche Zeitung,Fristlos kündigen,Teaser not available,"Fristlos kündigen darf der Vermieter zum Beispiel dann, wenn der Mieter mit der Mietzahlung für zwei aufeinanderfolgende Termine im Verzug ist. „Der Begriff der Unzumutbarkeit spielt bei der fristlosen Kündigung eine große Rolle“, stellt Rechtsanwalt Stürzer fest. Im Fall der Attacke auf die am Ende durchnässte Vermieterin werde der Hausfrieden nachhaltig gestört; eine Fortsetzung des Mietverhältnisses sei unzumutbar. Daher sei die fristlose Kündigung gerechtfertigt, urteilte das Amtsgericht Hanau.   In vielen Fällen müssen Mieter eine Abmahnung erhalten, bevor der Vermieter ihnen fristlos kündigen darf. Stürzer beschreibt eine Extremsituation, in der die Kündigung ohne vorherige Abmahnung zulässig sein kann: „In einem Mietwohnhaus dringt viel Wasser durch die Decke von einer Wohnung in die andere, doch der Mieter lässt den Vermieter nicht in die Wohnung hinein. Und die Feuerwehr muss die Tür aufbrechen.“

Doch auch manche Vermieter verhalten sich so, dass Mieter unverzüglich aus dem Vertrag aussteigen dürfen. „Mieter können ebenfalls dazu berechtigt sein, fristlos zu kündigen, zum Beispiel dann, wenn der Vermieter immer wieder die Nebenkosten falsch abrechnet“, sagt Stürzer. Allerdings müsse man dann nachweisen können, dass die Fehler mit Vorsatz gemacht wurden, nicht aus reiner Schlampigkeit.

Die Autorin gießt ihre Balkonblumen gerne schwungvoll, ihre Nachbarn
sind da ganz
entspannt."
2025-04-10,SZ Süddeutsche Zeitung,Ziegelstein,Teaser not available,Content not available
2025-03-28,SZ Süddeutsche Zeitung,"„Das Potenzial
ist riesig“","Warum werden leer stehende Bürohäuser nicht
in Wohngebäude umgebaut? Ein Gespräch
mit dem Architekten Rudolf Hierl über „Umnutzung“. INTERVIEW: GERHARD MATZIG Die Studie „O2H Office to Housing“, die der Architektinnen und Architekten (BDA) am Donnerstag in München veröffentlicht hat, liefert eine Handreichung zur „Transformation ungenutzter Büroflächen in bezahlbaren Wohnraum“. Wer sie liest, fragt sich, warum die Gesellschaft noch leer stehende Büros akzeptiert, während aus der Wohnungskrise eine Wohnungsnot wird. Rudolf Hierl ist als Architekt und Stadtplaner einer der Autoren.","SZ: In der Studie taucht die Idee auf, aus dem Münchner Rathaus ein Wohngebäude zu machen. Wo der FC Bayern normalerweise die Meisterschaft feiert, hängt nun Wäsche zum Trocknen auf dem Balkon. Lustig. Aber wäre es grundsätzlich möglich?

Rudolf Hierl: Umwandlung ist überall möglich, daher hat die Arbeitsgruppe O2H des BDA Bayern, die von Kerstin Oertel und mir geleitet wurde, diese Studie gemacht, um bildhaft über Grenzen hinauszudenken, auch um aufzuwecken und Mut zur Transformation zu machen. Zur konkreten Frage: Die Zellenstruktur im Rathaus ermöglicht die Umwandlung zu Wohnungen, der Stellplatznachweis müsste über ein Mobilitätskonzept nachgewiesen werden – und die Schaffung gesunder Wohn- und Belichtungsverhältnisse in den Innenhöfen stellt eine gewisse Herausforderung dar. Aber ja, bewohnbar wäre das Rathaus allemal.

Es gibt viel Leerstand bei Bürobauten in Deutschland – und gleichzeitig zu wenig Wohnraum. Wie viel könnte durch Umnutzung gewonnen werden? Das Ifo-Institut spricht von 60 000 Wohnungen für rund 100 000 Menschen – allein in den sieben größten deutschen Städten.

Bis jetzt können wir hier nur für München sprechen. Der aktuelle Immobilienreport der Landeshauptstadt München vermerkt, dass der Büroleerstand auf 8,7 Prozent beziehungsweise auf mehr als zwei Millionen Quadratmeter gestiegen ist. Wenn man nur zehn Prozent davon umwandeln würde, könnte man damit gut 2100 Wohnungen mit einer durchschnittlichen Wohnfläche von 75 Quadratmetern schaffen. Das entspricht knapp einem Drittel der im letzten Jahr in München gebauten Wohnungen. Das Potenzial dürfte sogar größer sein. München ist übrigens ein sehr attraktiver Bürostandort, in anderen Regionen sind die Leerstände vermutlich höher. Das Potenzial ist insgesamt riesig.

Mit welchen Kosten ist beim Umbau konkret zu rechnen?

Zunächst geht es um die Kosten für Rückbau und Altlastentsorgung, die je nach Baujahr der Immobilie sehr unterschiedlich sind. Stichwort Asbest. Dann entstehen – auch abhängig vom Baujahr – Kosten für die statische, energetische und schallschutztechnische Ertüchtigung der Gebäude. Gebäude ab Mitte der Achtzigerjahre sind meist mit sogenannten Flachdecken konstruiert und im Hinblick auf Tragwerk und Schallschutz unproblematisch. Gebäude aus den frühen Nachkriegsjahren sind in der Regel mit Rippen-Plattendecken ausgestattet und müssen sowohl statisch als auch schalltechnisch ertüchtigt werden. Ähnliches gilt für den Wärmeschutz: Bis zur ersten Wärmeschutzverordnung 1977 waren Gebäude oft gar nicht oder wenig gedämmt. Jüngere Gebäude müssen nicht zwingend neu gedämmt werden.

Es hört sich nicht gerade billig an.

Das kommt darauf an. Grundsätzlich kommen noch die Kosten für die Nachrüstung der technischen Gebäudeausstattung dazu, also Technikzentralen in den Untergeschossen und ein entsprechender Vertikalverzug der Installationstrassen. Schließlich sind die Ausbaukosten zu stemmen, um aus den meist offenen Bürogrundrissen die im Wohnungsbau typischen Zellengrundrisse zu machen. In manchen Fällen sind zusätzliche Erschließungskerne notwendig. Da wir obendrein sehr hohe Standards haben, was die Ausführung von Tiefgaragen angeht, sind hier vor allem mit zunehmendem Alter Sanierungsmaßnahmen notwendig. Die Kostenfrage ist aber immer eng an die Standardfrage gekoppelt: Geht man mit den Standards runter, was aktuell ein großes Thema ist, sinken natürlich auch die Kosten.

Ist so ein Umbau denn für die Immobilienwirtschaft überhaupt attraktiv?

Dazu kann man sich Folgendes vorstellen: Jemand besitzt eine Büroimmobilie in 2A-Lage, keine 20 Jahre alt, hat Mieteinnahmen, die doppelt so hoch sind wie im Wohnungsbau erzielbar – und aus Vermietersicht unkomplizierte Kunden. Nun kann der Eigentümer die Geschossfläche fast bis zu einhundert Prozent statt wie im Wohnungsbau bis zu 80 Prozent ausnutzen und hat über den Mehrwertsteuerabzug fast zwanzig Prozent der Baukosten erstattet bekommen. Er weiß: Wenn die Immobilie einmal der Wohnnutzung zugeführt ist, wird sie nie wieder Gewerbe werden können – warum sollte er also auf Wohnungsbau umsatteln?

Genau, warum?

Weil es im Gewerbebau Schweinezyklen gibt und die Branche immer darauf gehofft hat, dass der Markt drehen wird, doch viele Experten sehen das mittlerweile anders. Stichwort Home-Office. Andere Faktoren kommen hinzu. Der jüngste Immobilienmarktbericht der Landeshauptstadt München weist für die Stadt einen enormen Leerstand aus, ein Allzeithoch. Damit wird es immer interessanter für die Branche, über die Umwandlung in Wohnraum nachzudenken. Aber es gibt das Problem mit den oben beschriebenen Umbaukosten.

Nicht, wenn man den Markt anders organisiert und die Renditefaktoren anpasst. Ein Beispiel: Warum kann im Gewerbebau die Mehrwertsteuer durchgereicht werden und im Wohnungsbau nicht? Bei notwendigen Lebensmitteln gibt es in Deutschland eine Mehrwertsteuerreduzierung – sind nicht auch Wohnungen „Lebensmittel“, also existenzielle Mittel zum Leben? Ein weiterer Anreiz ist, dass man mit der Umwandlung von Büroimmobilien attraktive und smarte Wohnformen generieren kann, die es im eingeschränkten Regel-Wohnungsbau nicht gibt. Für das Besondere ist immer ein Markt da.

Was müsste jetzt konkret zur Umnutzung geschehen, damit mehr Büroraum zu Wohnraum wird? Und wo geschieht diese Transformation schon?

Die Transformation ist schon im Gange, in anderen deutschen Städten mehr als in München, im Ausland, etwa in den USA, mehr als in Deutschland. Aber auch hier wird bereits umgewandelt. Damit daraus eine richtige Bewegung wird, braucht es nun einen kräftigen Anschub und ein Umdenken in der bisherigen Praxis.

Transformation ist noch kein einfaches und selbstverständliches Geschäftsmodell. Alle bisherigen Muster müssen auf den Prüfstand: Das gilt etwa für die viel zu umständlichen Genehmigungsverfahren. Und unsere Gebietskategorien aus der Baunutzungsverordnung fußen auf Raummodellen aus den Fünfzigerjahren, in denen sich Fuchs und Hase in den suburbanen Gartenstädten gute Nacht sagen. Urbanität ist etwas anderes. Auch Lärmschutzverordnungen müssten angepasst werden: Die Regeln sind große Hemmnisse, die auch mutigen Akteuren in den Genehmigungsbehörden die Hände binden und Gerichtsverfahren Tür und Tor öffnen.

Aber auch die mutigen Akteure, es mag sie ja geben, haben womöglich übermütige Renditeerwartungen.

Es fehlen differenzierte steuerliche Möglichkeiten und Abschreibungsmodelle sowie alternative Bewertungen durch Banken. Generell notwendig ist ein alternativer Umgang mit Grundstücken – analog zum Erbbaurecht könnte es ein Mietbaurecht geben, wie es zum Beispiel in Frankfurt realisiert wurde. Zu alldem braucht es letztlich ein gesamtgesellschaftliches Bekenntnis zum Bestand als wertvollen Rohstoff – und nicht als Altlast."
2025-02-24,SZ Süddeutsche Zeitung,"Kreativ arbeiten
und kooperativ
wohnen","An der Dachauer Straße wird der Grundstein
für das erste gemeinnützige, von einer
Genossenschaft betriebene Haus gelegt,
das neben Wohnraum fast ebenso viele
Gewerbeflächen bietet. Pilotcharakter hat es
aber auch wegen geringerer Kosten.","Die Baugrube ist ausgehoben, auf dem Grundstück türmen sich Erdhaufen neben Stahlträgern. In wenigen Tagen will die Genossenschaft „Das große kleine Haus“ im Kreativquartier in Neuhausen mit dem Bau ihres ersten Projektes beginnen. Vorgesehen sind eineinhalb Jahre Bauzeit, im August 2026 sollen die ersten Bewohner und Bewohnerinnen in ihr neues Domizil einziehen können.

Es ist ein besonderes Wohnbauprojekt, das da gegenüber der Ecke Heß-/Günter-Behnisch-Straße entsteht. Und das liegt nicht nur an der zentralen Lage inmitten der vier Teilbereiche des Kreativquartiers. Dieses Haus ist das erste gemeinnützige, von einer Genossenschaft betriebene Projekt in München, das neben Wohnraum fast ebenso viele Gewerbeflächen im Angebot hat – im Verhältnis 60 zu 40. Als einziges Wohngebäude ist es im kultur- und kreativwirtschaftlichen Teilgebiet Kreativlabor des Kreativquartiers angesiedelt, während alle anderen im benachbarten Kreativfeld zu finden sind.

„Wir wollten etwas bauen, das atmet, was Kreatives mit Künstlern“, sagt Rainer Hofmann. Der Architekt ist einer der sechs Vorstände der Genossenschaft und im Hauptberuf einer der Geschäftsführer von Bogevischs Büro aus München. Sein Team hat bereits mehrere Genossenschaftsprojekte in der Stadt geplant, doch dem Büro fehlt es inzwischen an Platz. „Im Moment sind wir auf zwei Standorte verteilt – und das ist Quatsch.“

Hofmann, sein Co-Chef Hans-Peter Ritzer und Prokurist Julian Klaffke wandten sich deshalb an ihre Kollegen vom Architekturbüro Teleinternetcafe aus Berlin. Die Berliner haben das städtebauliche Konzept für die Bebauung des gesamten Kreativquartiers entwickelt. Die Idee, genossenschaftliches Bauen neu zu definieren, die Pläne partizipativ mit den Mitgliedern, zu denen viele Kreative zählen, reifen zu lassen, schweißte die Architekten und Stadtplaner zusammen. 2018 gründeten die Münchner und Berliner „Das große kleine Haus“ mit dem Ziel, „gemeinsam neue Gebäude zu bauen, zu betreiben und zu nutzen, in denen kreativ gearbeitet und kooperativ gewohnt wird und die mit ihrer Nachbarschaft in einen produktiven Austausch treten“, wie es auf der Webseite heißt.

29 Wohneinheiten unterschiedlicher Größe, allesamt barrierefrei und altengerecht, soll der neue Komplex hinter dem Pathos-Theater beherbergen. Von Kleinstwohnungen bis zu Familienapartments. Dazu ein Coworking-Raum, ein Gästezimmer, eine sogenannte Multihalle, eine sogenannte Bibliothek der Dinge, wo es Bohrmaschinen oder Fahrradwerkzeug auszuleihen gibt, einen Werkraum und einen Toberaum für Kinder im Keller – alles mitfinanziert von den Wohnmietern. „Die Wohnungen waren innerhalb einer Woche vergeben“, sagt Hofmann. Die Miete ist gedeckelt nach den städtischen Regeln des München-Modells oder des Konzeptionellen Mietwohnungsbaus. „Zum Glück haben wir noch die Zuschüsse der Stadt und die KfW-Förderung bekommen – ohne die würde es nicht gehen.“

Der soziale, integrative Fokus des Projekts spiegelt sich auch in der Wahl des gewerblichen Ankermieters wider. Der Verein Cooperative Beschützende Arbeitsstätten, der es sich zur Aufgabe macht, Menschen mit Lernschwierigkeiten, geistiger Behinderung, psychischer Erkrankung sowie leichteren körperlichen Einschränkungen ins Arbeitsleben zu integrieren, wird seine Bürozentrale und den Gebäudereinigungsbetrieb Putzblitz in den Neubau verlegen. Auch ein Café soll der Verein betreiben. 1100 Quadratmeter umfassen die Gewerbeflächen, Ateliers sind darunter, und natürlich Bogevischs künftiges Büro. Eine Gewerbeeinheit, rund 70 Quadratmeter groß, ist noch frei.

Pilotcharakter hat das Bauvorhaben aber auch aus architektonischer Sicht. „Unser Gebäude“, betont Hofmann, „soll Dinge am Bau einfacher machen.“ Um Vorschriften zu entschlacken und Baukosten wie Bauzeiten zu senken, hat der Freistaat Bayern vor Kurzem die Regeln vereinfacht: Bei 19 Projekten will man bewusst von bisherigen gesetzlichen, nicht sicherheitsrelevanten Bestimmungen abweichen, etwa beim Schallschutz, den Vorgabe zu alternativen Baustoffen oder beim Stellplatzschlüssel. Gebäudetyp E nennt sich das Programm. „Unser Haus gehört dazu und ist das erste, das jetzt auf die Piste kommt.“ Aus diesem Grund werden bei der Grundsteinlegung an diesem Montag auch das Ministerium und Münchens Stadtbaurätin Elisabeth Merk mit dabei sein.

Ein Beispiel: die Wahl und Nutzung des Baumaterials. Wände, Decken und Dächer des neunstöckigen Hauses bestehen aus Holz. „Wir weichen insofern von den Vorgaben ab, als wir einen einfachen Holzbau ohne Verkapselungen machen“, erklärt Hofmann. „Dafür mussten wir die Schallschutznorm DIN 4109 ein bisschen unterschreiten – mit Zustimmung der Lokalbaukommission und der Ministerien.“ De facto orientiere sich das neue Gebäude damit – ganz pragmatisch – an sanierten Altbauten. Ein anderes Beispiel: die Anbringung der Heizkörper an den Innen- statt den Außenwänden. Diese Lösung spart Leitungsstränge. Relevant ist aber auch der Nachhaltigkeitsgedanke. Ein Kollege von Hofmann entdeckte in einer Halle der Stadtwerke alte Stahlträger, 90 Tonnen insgesamt. Ein Drittel davon, 30 Tonnen, sollen nun zu einem der optischen Aushängeschilder des Bauprojekts umfunktioniert werden – zu einer schwungvollen, kommunikationsstiftenden Außentreppe, von den Bewohnern „Chaostreppe“ getauft. Involviert in diese Konstruktion ist unter anderem die Technische Universität wiederum mit einem Modellprojekt, denn diese Träger lassen sich nicht, wie sonst üblich, schweißen.

Standardunterschreitungen zu ermöglichen sei, um Projekte wie dieses im Kreativquartier überhaupt noch realisierbar zu machen, „essenziell“, findet Architekt Rainer Hofmann. Zumal die Gebäude dabei nichts von ihrem Wert einbüßten. „Wir bauen trotzdem noch ein tolles, qualitativ hochwertiges Haus.“

Mit drei großen Dachterrassen, die höchste auf 30 Metern Höhe mit Alpenblick. Von dort aus lassen sich auch die Fortschritte der benachbarten Wohnbauten auf dem Kreativfeld beobachten. Das Vorhaben der Postbaugenossenschaft, die 56   Wohnungen samt Gästeapartment, großem Gemeinschaftsraum im Keller und grünem Hof als Treff für alle in der Siedlung errichtet, soll bereits in diesem Jahr fertig werden. Und das der städtischen Wohnungsbaugesellschaft Münchner Wohnen mit ihren 184 Wohnungen 2027. Die junge Genossenschaft „Wohnt Urban“ startet mit dem Bau ihrer 35 Wohnungen wie „Das große kleine Haus“ noch in diesem Jahr, das konzeptionelle Mietwohnungsbauprojekt der Gewoo Wohnungsgesellschaft beginnt Anfang 2026 mit seinem Gebäudekomplex. Zur Gewoo gehören die Genossenschaften Stadtimpuls und Progeno, das Klinikum rechts der Isar und der Verein HPKJ, entstehen sollen auf deren Areal bis Mitte 2028 rund 80 Wohnungen, darunter etwa 50 für Klinikmitarbeiter sowie ausreichend Raum für eine teilbetreute Wohngruppe für junge Erwachsene.

2025 werden außerdem der Abbruch der Bestandsgebäude und die Planungen für den Wohnungsbau der Stadtwerke fortgeführt, die Fertigstellung ist für 2030 geplant. Das Bauprojekt des Baureferates zu Sanierung und Umbau der denkmalgeschützten Tonnen- und Jutierhalle im Kreativlabor soll 2028 abgeschlossen sein. Und auch die Vorbereitungen des Baureferates für die Herstellung der öffentlichen Grünanlage im Kreativpark werden in diesem Jahr weitergeführt.

Am Micky-Maus-Graffito vorbei und dann geradeaus: Das Baufeld des „großen kleinen Hauses“, das Rainer Hofmanns Architektenteam plant, liegt im Kreativquartier."
