title,teaser,date,source,content,content_length
"Schauen, wo besonders gut gebaut wurde","Beim Tag der Architektur werden besonders gelungene Bauten präsentiert. Unter dem Motto ""Vielfalt bauen"" ist in Hessen ein breites Spektrum an Beispielen vertreten. Ein Gebäudetyp kommt besonders häufig vor.",2025-06-26,Frankfurter Allgemeine Zeitung,"Beim Tag der Architektur werden besonders gelungene Bauten
präsentiert. Unter dem Motto ""Vielfalt bauen"" ist in Hessen ein
breites Spektrum an Beispielen vertreten. Ein Gebäudetyp kommt
besonders häufig vor.
27. Juni 2025 · Beim Tag der Architektur werden besonders gelungene Bauten präsentiert.
Unter dem Motto ""Vielfalt bauen"" ist in Hessen ein breites Spektrum an Beispielen vertreten.
Ein Gebäudetyp kommt besonders häufig vor.
Das Doppelhaus in Dombach, einem Stadtteil von Bad Camberg im Kreis Limburg-
Weilburg, ist auf den ersten Blick unscheinbar: Zwei Baukörper mit klassischen
Satteldächern und ähnlicher Kubatur, einer schwarz, einer weiß. In einem Haus wohnt die
Mutter, in dem anderen die Tochter. Was das Architekturbüro Börries Götsch aus Schmitten
geplant hat, wirkt wie selbstverständlich, gilt der Architekten- und Stadtplanerkammer
Hessen (AKH) aber als vorbildlich. Die Häuser wirken hochwertig, sind aber effizient und
schonen das Budget.
Es sind nicht nur große, spektakuläre Projekte, die an diesem Wochenende beim Tag der
Architektur gezeigt werden, der in diesem Jahr unter dem Motto ""Vielfalt bauen"" steht. ""Der
Begriff Vielfalt steht auch für das regionale Bauen in Kleinstädten und im ländlichen Raum"",
sagt AKH-Präsident Gerhard Greiner. Traditionell würden beim Tag der Architektur auch
kleine Bauaufgaben in den Blick genommen.
74 Objekte in Hessen hat eine Jury ausgewählt. Viele davon sind sonst nicht öffentlich
zugänglich - es besteht zum Beispiel in vielen Orten die einmalige Gelegenheit, sich
besonders gelungene Privathäuser anzusehen. Aber es sind auch zahlreiche öffentliche
Bauten im Programm, darunter auffällig viele Schulen. Gezeigt werden zum Beispiel der von
Hirschmuellerschmidt (Darmstadt) geplante Erweiterungsbau der Ackermannschule in
Frankfurt und der von Christl + Bruchhäuser entworfene Neubau der Humboldtschule in
Offenbach. Bei dieser würdigt die Jury die ""klaren Linien der Architektur und die ökologische
Bauweise"". In Frankfurt ist die Kindertagesstätte ""Grüne Winkel"" in Nied zu besichtigen, die
der Frankfurter Architekt Tom Meurer entworfen hat. Eine Besonderheit ist, dass

Spielflächen auf dem Dach des Gebäudes mit dreieckigem Grundriss untergebracht sind.
Der AKH sei es ein Anliegen, unterschiedliche Typologien, Bauweisen oder Ansätze des
nachhaltigen Bauens zu präsentieren, so Greiner. Unter anderem werden Hybridbauten und
Gebäude mit besonders umweltverträglichen Baustoffe präsentiert. Dazu zählt auch ein
Wohnprojekt des Verlags der F.A.Z. an der Frankenallee im Frankfurter Gallus. Nach Plänen
des Büros Menges Scheffler Architekten sind 43 Wohnungen in Holzbauweise entstanden.
""Begrünte Dächer und Fassaden verbessern das Mikroklima"", heißt es im Begleitheft zum
Tag der Architektur. ""Loggien und große Fenster sorgen für Wohnlichkeit."" Auch Umbau-
und Sanierungsvorhaben finden sich im Programm. ""Ressourcenschonendes Weiterbauen
gewinnt an Bedeutung"", sagt der Kammerpräsident. Auch hier geht es nicht nur um Projekte
mit großer öffentlicher Aufmerksamkeit. Im Frankfurter Stadtteil Sachsenhausen präsentiert
das Gemeinnützige Siedlungswerk (GSW) das ""Trio im Stadtgrün"". Die sanierten
Wohnblocks aus den Sechzigerjahren fallen nach der Sanierung vor allem durch die bunten
Fassaden auf. Entscheidend sind aber die energetischen Verbesserungen, die nach der
Planung von Lang + Volkwein Architekten aus Darmstadt durch Dämmung sowie den
Einsatz von Wärmepumpen und Solarthermie erreicht wurden. Dadurch wurde
Effizienzklasse B erreicht, vorher fielen die Gebäude in Klasse G mit einem hohen
Energieverbrauch. Eine ehemaliger Effekt wurde bei einem Gebäude im Stadtteil
Heddernheim erzielt, das der Eigentümer nach Plänen der Architektin Marie-Theres
Deutsch nicht nur energetisch saniert, sondern auch rollstuhlgerecht umgebaut hat. Aus
dem Einfamilienhaus wurde ein Gebäude mit drei Wohneinheiten.
Eine Nummer größer sind klassische Bürogebäude, die am Wochenende ihre Türen öffnen.
Zu besichtigen sind zum Beispiel die neuen Unternehmenszentralen von Samsung in
Eschborn, Nestlé in Frankfurt und der Sparkasse Darmstadt. Kulturbauten werden unter
anderem vom neuen Domizil der Crespo Foundation in der Frankfurter Innenstadt
repräsentiert.
Andere Bauvorhaben wie der Aussichtsturm Tromm in Rimbach im Odenwald sind auch
außerhalb des Tags der Architektur zugänglich. Doch am Wochenende gibt es die
Gelegenheit, sich von den Architekten die Hintergründe erläutern zu lassen. Zum Beispiel
bietet das Architekturbüro Schneider + Schumacher am Sonntag Führungen zur neuen
Besucherterrasse des Städel Museums in Frankfurt. Hier und bei den meisten anderen
Führungen ist allerdings die Zahl der Teilnehmer begrenzt, es ist eine Anmeldung
erforderlich. Die genauen Daten dazu finden sich im detaillierten Programm im Internet.
Mit dem Tag der Architektur will die Kammer die Bedeutung der ""gebauten Umwelt"" einem
größeren Publikum näherbringen. Es sei wichtig, ""Architektur in die Mitte der
gesellschaftlichen Debatte zu heben"", sagt Präsident Greiner.
F.A.Z.

hessen-entdecken-110560428.html",5068
Kampf gegen Wohnungsmangel,Traumwohnungen aus der Fabrik Die Bauministerin hat ein Rezept gegen den Wohnungsmangel.,2025-06-22,Frankfurter Allgemeine Zeitung,"Traumwohnungen aus der Fabrik
Die Bauministerin hat ein Rezept gegen den Wohnungsmangel.
Häuser sollen aus vorgebauten Modulen zusammengesetzt werden.
Das ist schwieriger, als es klingt.
Zwölf mal zwölf Meter sollen die Häuser groß sein, die einigen Heilbronnern bald ein
Zuhause geben werden. Die Fassade der dreistöckigen Gebäude, die an einen Würfel
erinnern, wird mit Holz verkleidet. Auf dem Dach sollen Solaranlagen Strom erzeugen. Im
Inneren werden sich fünf Zweizimmerwohnungen und ein kleines Apartment befinden. Das
Besondere ist aber nicht die Optik, sondern vielmehr die Entstehung. Aktuell gibt es die
neuen Mietwohnungen noch nicht, doch nach Baubeginn sollen sie binnen weniger Monate
bezugsfertig sein, einer speziellen Bauweise sei Dank: dem seriellen Bauen. Wände,
Decken und Böden werden dabei schon in einer Fabrik vorgefertigt, auf der Baustelle wird
das Haus nur noch zusammengesetzt. Lego für Erwachsene und in Großformat sozusagen.
Was in Heilbronn im Kleinen geschieht, soll sich in ganz Deutschland verbreiten. Zumindest,
wenn es nach Bauministerin Verena Hubertz geht. Wo auch immer die Sozialdemokratin
zurzeit auftritt, ihre Botschaft ist klar: Es sollen schnell und günstig neue Wohnungen
entstehen, um dem Mietpreisanstieg und dem Wohnungsmangel entgegenzuwirken.
Serielles Bauen sieht die Ministerin als ein vielversprechendes Mittel dafür. Die Baukosten
sollen dadurch halbiert werden, prophezeit sie. Auch ein aktueller Kabinettsbeschluss soll
helfen, indem Baugenehmigungen beschleunigt werden, den die Ministerin als ""Bau-Turbo""
anpreist.
(==================== Bild ====================)
Hubertz ist nicht die erste Ministerin, die von Mehrfamilienhäusern träumt, die massenhaft in
Werkshallen gefertigt und dann in Windeseile auf Deutschlands Grundstücken aufgestellt
werden. Schon ihre Vorgängerin Klara Geywitz, ebenfalls von der SPD, versprach sich viele
neue Wohnungen von dieser Bauweise. Das Vorbild sind Länder wie die Niederlande oder
Dänemark, wo das serielle Bauen bereits stärker verbreitet und auch kulturell verankert ist.

Die Sorge vor neuen Plattbauten
In Deutschland wiederum fällt die Bilanz bislang bitter aus. Vereinzelt gibt es Berichte in
Lokalzeitungen über Studentenheime, Seniorenresidenzen oder Wohnhäuser für Familien,
die seriell gebaut werden. Die höchste Bekanntheit dürften Fertighäuser für einzelne
Familien erlangt haben. Um die soll es hier jedoch nicht gehen, der Fokus liegt auf
Mehrfamilienhäusern mit Mietwohnungen. Die Bestandsaufnahme verdeutlicht: Die große
Wohnrevolution durch das Lego-Prinzip blieb in Deutschland bisher aus. Macht es sich die
Ministerin mit ihrer Vision also etwas zu einfach? Haben die Deutschen keine Lust auf
Häuser und Wohnungen aus der Fabrik? Zahlen sie womöglich sogar lieber die hohen
Mieten, bevor sie in ein Baukasten-Haus ziehen?
Das serielle Bauen habe großes Potential, da ist man sich in der Branche einig. Doch ganz
so einfach, wie die Bauministerin es bewirbt, wird es nicht. Sie steht mit ihrem Vorhaben vor
mehreren Herausforderungen - die größte davon ist zu bewältigen, bevor überhaupt die
erste Wand hochgezogen wird. ""In Deutschland ist die Wohnung für viele Menschen etwas
ganz Individuelles"", sagt Andreas Pfnür, Immobilienexperte an der TU Darmstadt. Häuser
aus dem Katalog, die allesamt gleich aussehen und die es an mehreren Standorten gibt,
haben hierzulande keinen leichten Stand - auch historisch bedingt. Schließlich gab es den
großflächigen seriellen Wohnungsbau hierzulande bereits schon einmal: mit den
Plattenbauten, die in der DDR dominierten. Es musste schlichtweg schnell Wohnraum
geschaffen werden, die Optik war zweitrangig. Auch in Westdeutschland war es nach dem
Krieg ähnlich.
So ist die Sorge verbreitet, dass durch das Bauen nach Baukastenprinzip überall Häuser
auftauchen, die sich nicht in die Landschaft einfügen, vor Eintönigkeit strotzen oder gar zu
sozialen Brennpunkten werden. Die Baufirmen wiederum kämpfen gegen dieses Image an.
Mit welchem Unternehmer aus dieser Sparte man auch immer spricht, sogleich schicken sie
selbst oder ihre Assistenten zusätzliche Videos und Fotos per Mail - als Beweismittel, dass
die neuen Häuser modern sowie ökologisch nachhaltig sind und keinerlei Ähnlichkeiten zu
den Plattenbauten von damals aufweisen.
Von dieser Überzeugungsarbeit weiß auch Dominik Buchta zu erzählen. Er ist
Geschäftsführer der Stadtsiedlung Heilbronn, eines kommunalen Wohnungsunternehmens,
das auf den seriellen Bau setzt. Buchtas Aufgabe ist es, die Bevölkerung mit leistbarem
Wohnraum zu versorgen. ""Heilbronn ist vergleichsweise offen für Innovationen"", sagt er.
Doch nicht alle Lokalpolitiker - und die gilt es als kommunales Wohnungsunternehmen für
die Bauprojekte zu begeistern - können dem seriellen Bauen etwas abgewinnen. Die Angst
vor der Eintönigkeit im Stadtbild ist ein wiederkehrendes Thema, berichten mehrere
Branchenexperten. Oft sei auch der Wunsch groß, die traditionellen Bauunternehmen aus
der Region zu engagieren, um die Baubranche vor Ort zu unterstützen und Arbeitsplätze zu
sichern. Denn Deutschland hat, besonders im Vergleich zu manch anderen Ländern, eine
Baubranche, die sich stark auf kleine und mittelgroße Betriebe konzentriert. Die bauen aber

oft nicht seriell. Zusätzlich bringen lokale Architekten gerne ihre Vorschläge ein, Stadtplaner
wollen sich verwirklichen. Dadurch entstehen zwar schöne Häuser, der Prozess ist aber
langsamer und oft auch teuer. ""Natürlich handelt es sich bei den seriell gebauten Häuser
um keine Luxusvillen"", sagt Buchta. Für ihn ist es eine gesellschaftliche Debatte: ""Geht es
uns darum, jeden individuellen Wunsch zu erfüllen oder endlich schnell neue Wohnungen
zu bauen?""
Sogar Küchen können vorab eingebaut werden
Dass seriell gebaute Häuser rascher entstehen als konventionelle, liegt am standardisierten
Bauprozess. Wer immer wieder dasselbe Haus baut, hat Erfahrung und spart Zeit für den
Planungsprozess - und Geld. Das funktioniert so: Der Auftraggeber, also beispielsweise ein
Immobilienunternehmen oder eine kommunale Wohnungsgesellschaft, kann aus einem
Katalog mit verschiedenen Häusern auswählen. Schulen, Sporthallen, aber eben auch
Wohngebäude können so zusammengestellt werden. Wie hoch der Vorfertigungsgrad ist,
hängt von der Baufirma und den Wünschen der Kunden ab. Manche Unternehmen
produzieren nur einzelne Bestandteile in der Fabrik, etwa die Wände, Stützen und den
Balkon. Der Vorteil: Baustellenarbeiter fahren nicht mehr quer durch das Land, sondern
erledigen ihren Job stets in derselben Halle. Das hilft auch, die Arbeit für Fachkräfte attraktiv
zu machen.
Einige Firmen bauen sogar bereits die gesamte Wohnung inklusive Bad und Küche vor. Auf
der Baustelle setzen sie die Module nur noch zusammen. Bis zu 90 Prozent des Hauses
lassen sich bereits in der Werkshalle fertigen. ""Im besten Fall müssen nicht mal mehr ein
Fliesenleger oder Elektriker auf die Baustelle"", sagt Michael Six von Goldbeck, einer der
größten Baufirmen Europas und Spezialist für serielles Bauen. Ein Haus könne dann
innerhalb weniger Monate auf dem Grundstück hochgezogen werden.
So soll es zumindest sein, wenn alles nach Plan funktioniert. Bislang aber gab es einen
altbekannten Störfaktor, der vieles verzögerte: die Bürokratie. Aktuell gilt, dass neue Häuser
einen Bebauungsplan und eine Baugenehmigung brauchen. Bis zu zehn Jahre kann es
dauern, bis überhaupt ein Kran auf der Baustelle steht, sagt Fabian Viehrig vom
Bundesverband deutscher Wohnungs- und Immobilienunternehmen. Auch gibt es in
Deutschland 16 verschiedene Bauordnungen, jedes Bundesland hat eine eigene, die den
Lärmschutz oder Barrierefreiheit von Gebäuden regelt. Für die Unternehmen des seriellen
Baus bedeutet das: Sie müssen je nach Bundesland unterschiedlich produzieren. Eine
politische Änderung könnte hier aber Abhilfe schaffen. Vor wenigen Tagen hat die
Bauministerin den Gesetzesentwurf für den sogenannten ""Bau-Turbo"" eingebracht, um
diese Regeln zu lockern und den Prozess zu beschleunigen. Bis sich die Auswirkungen
auch auf der Baustelle zeigen, dürfte es aber dennoch etwas dauern. ""Bauen passiert eben
nicht über Nacht"", sagt Viehrig.
Serielles Bauen ist günstiger

Bleibt die Frage der Kosten. Vom Preisschock der vergangenen Jahre wurde auch das
serielle Bauen nicht verschont. Die höheren Bauzinsen und die teureren Materialien haben
dafür gesorgt, dass weniger Projekte durchgeführt wurden. Dass serielles Bauen jedoch
häufig günstiger ist als der konventionelle Bau, darüber ist sich die Branche weitgehend
einig. Hubertz' Vorschlag, die Baukosten um die Hälfte zu drücken, sei machbar, bestätigen
Bauunternehmer und Immobilienexperten. Allerdings fügen sie hinzu: Wenn alles glatt läuft.
Ansonsten fallen die Einsparungen deutlich niedriger aus. Kommen Wünsche für die neuen
Wohnhäuser hinzu, etwa eine Tiefgarage, verringert sich der Kostenvorsprung. Und: Es
braucht natürlich erst mal freie Grundstücke, auf denen die Häuser entstehen können, die
sind in den Kosten noch nicht mit einberechnet. Selbst wenn der Bau an sich
vergleichsweise günstig ist, die Grundstücke selbst sind das nicht immer. Das kann das
Vorhaben deutlich verteuern.
Die Bauträger jedenfalls warten und hoffen, dass bald neue Aufträge ihre Postfächer
erreichen. Einer, der sich zuletzt über eine solche Nachricht freuen durfte, ist Nokera. Die
Firma arbeitet bereits an den neuen Mietshäusern in Heilbronn, nun soll es in der Gegend
noch ein Studentenheim seriell planen - und wenn der Auftraggeber zufrieden ist, auch
bauen. Mehr als 200 neue Wohnungen könnten entstehen. Produziert wird bei Nokera nahe
Magdeburg. Bis zu 30.000 Wohnungen im Jahr schaffe man, sagt Geschäftsführer Jan
Hedding. Das Unternehmen ist in Deutschland einer der Vorreiter für serielles Bauen. Für
die Firmen gilt allerdings auch: Kommen künftig plötzlich viele neue Aufträge, müssten sie
ihre Kapazitäten aufstocken, was nicht immer einfach ist. Auch das verdeutlicht, dass sich
die Wohnungslücke in Deutschland durch serielles Bauen nicht einfach schließen lässt.
Aber es könnte zumindest einen Beitrag dazu leisten.
Hubertz' Vorgängerin Klara Geywitz sprach von 400.000 neuen Wohnungen pro Jahr, die
man bauen hatte wollen. Daran ist sie gescheitert. Wohl auch deshalb lässt sich Hubertz auf
keine konkrete Zahl festnageln. Sie arbeitet lieber mit Metaphern und spricht von Turbo,
Brechstangen und rollenden Baggern. Die müssen nun aber erst einmal an den Baustellen
ankommen.
F.A.S.

wohnungsmangel-vorgehen-will-110548414.html",10502
